"","X","PID","index","time_elapsed","block","reward_type","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","left_chosen","chosen_obj","unchosen_obj","explain_trial","explain_response","explain_rt"
"31",31,"1pow4",16,377863,2,1,5,40,62,65,"batel-studio-ttSRjiYG_WM-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",0,40,5,1,"Great smile liked the camera ",16.248
"32",32,"1pow4",2,263055,1,-1,29,41,69,63,"leilani-angel-K84vnnzxmTQ-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",0,41,29,1,"Better smile",4.971
"33",33,"1pow4",21,408016,2,-1,18,23,72,76,"good-faces-xmSWVeGEnJw-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",1,18,23,1,"Love her hair",7.978
"34",34,"1pow4",22,419159,2,-1,24,44,73,71,"joel-mott-LaK153ghdig-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",1,24,44,1,"Great smile",5.261
"35",35,"1pow4",23,427095,2,1,13,39,59,68,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",1,13,39,1,"no particular reason",13.913
"36",36,"1pow4",4,279055,1,1,37,17,63,69,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",0,17,37,1,"Person was more photogenic ",11.127
"37",37,"1pow4",6,296463,1,1,36,47,61,67,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","tyler-nix-ZGa9d1a_4tA-unsplash.jpg",1,36,47,1,"Looked artsy while the other looked professional",16.622
"38",38,"6mfmY",11,683542,1,1,0,45,89,88,"abstral-official-cyOKLSgkgCE-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",0,45,0,1,"its better",65.219
"39",39,"6mfmY",12,752527,2,-1,23,48,88,93,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",0,48,23,1,"clearer",3.887
"40",40,"6mfmY",13,759053,2,-1,24,15,84,88,"joel-mott-LaK153ghdig-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",0,15,24,1,"colorful",5.238
"41",41,"6mfmY",16,771082,2,1,8,30,75,90,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",0,30,8,1,"cooler",3.376
"42",42,"6mfmY",19,783183,2,-1,36,33,68,80,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",0,33,36,1,"cooler",3.466
"43",43,"6mfmY",2,620352,1,1,20,26,87,87,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",1,20,26,1,"its cooler",7.639
"44",44,"6mfmY",20,789885,2,1,1,32,93,71,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","nathan-dumlao-ger61_TX6oI-unsplash.jpg",1,1,32,1,"smoother",4.498
"45",45,"6mfmY",21,797282,2,-1,27,12,90,88,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",1,27,12,1,"cold tone",6.355
"46",46,"6mfmY",3,630298,1,-1,21,38,91,74,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",0,38,21,1,"its colors are cooln",8.204
"47",47,"6mfmY",4,640877,1,-1,49,29,91,93,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",0,29,49,1,"clearer",4.782
"48",48,"6mfmY",5,648279,1,1,39,9,92,78,"philip-martin-5aGUyCW_PJw-unsplash.jpg","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",0,9,39,1,"dynamic",4.183
"49",49,"6mfmY",9,667957,1,1,43,19,90,92,"raamin-ka-0qJBEzudn5E-unsplash.jpg","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",1,43,19,1,"cooler",4.538
"62",62,"8WXnd",1,135485,1,1,38,3,86,89,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",1,38,3,1,"I like the filter it makes it look more artistic",6.499
"63",63,"8WXnd",10,190403,1,1,8,6,78,87,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","ben-o-bro-C5XyLljkMrY-unsplash.jpg",0,6,8,1,"The subjects smile makes the photo very appealing",6.88
"64",64,"8WXnd",11,201278,1,-1,39,43,72,82,"philip-martin-5aGUyCW_PJw-unsplash.jpg","raamin-ka-0qJBEzudn5E-unsplash.jpg",1,39,43,1,"The background adds a pretty artistry to the photo",8.019
"65",65,"8WXnd",12,214483,2,-1,40,33,84,66,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",0,33,40,1,"The contrast between the subject and the pale background is very striking",8.32
"66",66,"8WXnd",17,236708,2,-1,45,1,89,76,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",0,1,45,1,"The way the photo is lit makes it look almost similar to a painting",7.175
"67",67,"8WXnd",18,247092,2,1,31,15,86,78,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",1,31,15,1,"The shadows make the photo look extremely unique with a pretty contrast to it",11.811
"68",68,"8WXnd",20,264630,2,-1,17,10,66,84,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","charles-etoroma-95UF6LXe-Lo-unsplash.jpg",1,17,10,1,"The shadows and the subjects pose make the photo look like a woodsy painting",8.916
"69",69,"8WXnd",21,276510,2,1,12,2,77,69,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",1,12,2,1,"The background adds a pretty contrast to the photo that makes it striking",8.49
"70",70,"8WXnd",23,290731,2,1,7,25,77,82,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",1,7,25,1,"The smile makes the photo look very candid and very cute ",7.17
"71",71,"8WXnd",4,150383,1,-1,34,20,72,76,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",1,34,20,1,"The use of shadow makes the photo look very elegant",6.547
"72",72,"8WXnd",6,162964,1,-1,29,14,86,82,"leilani-angel-K84vnnzxmTQ-unsplash.jpg","freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,14,29,1,"I like the lighting and the use of an older subject for the photo",9.247
"73",73,"8WXnd",9,180975,1,1,11,16,83,73,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",1,11,16,1,"The use of color makes the picture pop really well",6.539
"74",74,"9nseM",11,1653838,1,-1,43,30,70,61,"raamin-ka-0qJBEzudn5E-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",1,43,30,1,"look beautiful",22.538
"75",75,"9nseM",16,1703717,2,1,2,11,70,74,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","christian-ferrer-8vT-DgHZDG4-unsplash.jpg",0,11,2,1,"she look very beautiful",23.307
"76",76,"9nseM",17,1730666,2,1,44,27,61,52,"rikonavt-HQjfrvdTfak-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",0,27,44,1,"Nice Simile",17.242
"77",77,"9nseM",18,1752979,2,1,3,42,67,35,"art-hauntington-jzY0KRJopEI-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",1,3,42,1,"Look beautiful",32.599
"78",78,"9nseM",2,1482694,1,-1,49,5,43,66,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","batel-studio-ttSRjiYG_WM-unsplash.jpg",0,5,49,1,"I like it smile",20.411
"79",79,"9nseM",20,1793480,2,-1,15,41,78,66,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",1,15,41,1,"She happy",10.457
"80",80,"9nseM",21,1808136,2,1,20,48,56,72,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",1,20,48,1,"Nice look",11.794
"81",81,"9nseM",23,1828726,2,1,35,16,63,71,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",0,16,35,1,"Nice look",8.956
"82",82,"9nseM",3,1508952,1,-1,18,0,66,36,"good-faces-xmSWVeGEnJw-unsplash.jpg","abstral-official-cyOKLSgkgCE-unsplash.jpg",1,18,0,1,"It look nice",19.972
"83",83,"9nseM",5,1536915,1,1,29,23,76,75,"leilani-angel-K84vnnzxmTQ-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",0,23,29,1,"It look nice",19.679
"84",84,"9nseM",7,1564203,1,-1,31,24,66,75,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",0,24,31,1,"She look beautiful",26.179
"85",85,"9nseM",8,1595825,1,-1,28,13,38,56,"justin-chen-J7Cf1Gch49E-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",1,28,13,1,"Good hair style",44.088
"86",86,"aDc5y",10,2919146,1,-1,44,21,84,83,"rikonavt-HQjfrvdTfak-unsplash.jpg","jessica-felicio-_cvwXhGqG-o-unsplash.jpg",1,44,21,1,"This photo is more attractive and I like the background",3.173
"87",87,"aDc5y",11,2927130,1,-1,16,41,58,76,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",0,41,16,1,"The photo makes me pleasure",9.41
"88",88,"aDc5y",14,2948955,2,-1,35,26,78,72,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",1,35,26,1,"I like the background of this photo",21.659
"89",89,"aDc5y",15,2975025,2,-1,12,32,75,75,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","nathan-dumlao-ger61_TX6oI-unsplash.jpg",1,12,32,1,"This photo is more attractive and I like the background",4.843
"90",90,"aDc5y",16,2983950,2,1,4,9,74,74,"barna-bartis-2x3vfVxwR7o-unsplash.jpg","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",1,4,9,1,"Highlight of this photo is omit the background",23.749
"91",91,"aDc5y",17,3011211,2,1,27,29,58,86,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",1,27,29,1,"This photo is more attractive and I like the background",2.449
"92",92,"aDc5y",18,3016615,2,1,45,30,73,65,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",1,45,30,1,"This photo is more attractive and I like the background",2.36
"93",93,"aDc5y",2,2820253,1,1,36,14,68,71,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,14,36,1,"The photographer put more effort to take this photo",11.379
"94",94,"aDc5y",21,3027760,2,1,49,34,64,63,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","oliver-johnson-1TUIcKob7Zs-unsplash.jpg",1,49,34,1,"The photo editing effect is high",19.247
"95",95,"aDc5y",4,2840775,1,1,1,28,85,82,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",1,1,28,1,"This photo is more attractive and I like the background",27.636
"96",96,"aDc5y",8,2882579,1,-1,11,8,74,84,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",1,11,8,1,"This photo should be attract everyone",17.275
"97",97,"aDc5y",9,2903763,1,-1,46,43,71,78,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","raamin-ka-0qJBEzudn5E-unsplash.jpg",1,46,43,1,"I like the background editing",10.211
"98",98,"AxP3Q",0,494619,1,1,9,0,67,57,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","abstral-official-cyOKLSgkgCE-unsplash.jpg",1,9,0,1,"Happy",27.198
"99",99,"AxP3Q",11,591508,1,-1,37,42,64,39,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",0,42,37,1,"sad",7.905
"100",100,"AxP3Q",15,614120,2,-1,48,7,66,61,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",1,48,7,1,"sad",3.545
"101",101,"AxP3Q",18,626904,2,-1,45,12,63,68,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",0,12,45,1,"smile",4.568
"102",102,"AxP3Q",19,634565,2,1,47,25,65,65,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",0,25,47,1,"smile",2.812
"103",103,"AxP3Q",2,530454,1,1,8,34,63,72,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","oliver-johnson-1TUIcKob7Zs-unsplash.jpg",0,34,8,1,"Angry",9.161
"104",104,"AxP3Q",21,643731,2,1,18,1,36,67,"good-faces-xmSWVeGEnJw-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",0,1,18,1,"sad",3.125
"105",105,"AxP3Q",22,649995,2,-1,26,44,37,70,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",1,26,44,1,"happy",8.221
"106",106,"AxP3Q",23,660926,2,1,19,35,68,67,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",0,35,19,1,"sad",19.347
"107",107,"AxP3Q",4,552440,1,-1,21,28,65,69,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",0,28,21,1,"smile",5.024
"108",108,"AxP3Q",5,560737,1,-1,10,39,63,59,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",1,10,39,1,"smile",3.368
"109",109,"AxP3Q",8,574086,1,1,23,31,41,72,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","mathilda-khoo-vLR0YP_otCo-unsplash.jpg",1,23,31,1,"style",6.541
"110",110,"BAPFD",10,915769,1,-1,4,10,79,83,"barna-bartis-2x3vfVxwR7o-unsplash.jpg","charles-etoroma-95UF6LXe-Lo-unsplash.jpg",1,4,10,1,"differend look",17.74
"111",111,"BAPFD",13,952095,2,1,41,16,80,79,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",1,41,16,1,"nice click",20.557
"112",112,"BAPFD",14,976656,2,-1,47,40,83,91,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",0,40,47,1,"very good still",27.102
"113",113,"BAPFD",16,1014456,2,1,13,12,73,78,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",0,12,13,1,"nice click",12.798
"114",114,"BAPFD",18,1040513,2,1,1,37,71,73,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",1,1,37,1,"vry beautiful",12.628
"115",115,"BAPFD",2,725106,1,1,27,19,90,83,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",1,27,19,1,"looking very nice",36.078
"116",116,"BAPFD",20,1060843,2,1,14,29,74,76,"freddy-kearney-o-ioeoATbIM-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",1,14,29,1,"very nice",15.773
"117",117,"BAPFD",23,1090550,2,-1,8,44,85,73,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",0,44,8,1,"nice click",24.01
"118",118,"BAPFD",3,766950,1,-1,7,34,76,73,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","oliver-johnson-1TUIcKob7Zs-unsplash.jpg",0,34,7,1,"looking good",16.995
"119",119,"BAPFD",4,789422,1,-1,25,45,87,86,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",0,45,25,1,"good and nice",38.615
"120",120,"BAPFD",5,834157,1,1,22,6,79,83,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","ben-o-bro-C5XyLljkMrY-unsplash.jpg",0,6,22,1,"natural clike",44.81
"121",121,"BAPFD",6,884564,1,-1,26,28,83,77,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",0,28,26,1,"nice look",9.582
"122",122,"c2yi6",1,381206,1,1,29,39,74,63,"leilani-angel-K84vnnzxmTQ-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",0,39,29,1,"Because I felt the photograph spoke more to more based on the background and the way the subject is posing He seems confident and assured with himself",57.433
"123",123,"c2yi6",12,838475,2,1,10,23,69,71,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",1,10,23,1,"The subjects happiness is infectious It lifts your spirits",47.021
"124",124,"c2yi6",16,900248,2,-1,41,18,63,65,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","good-faces-xmSWVeGEnJw-unsplash.jpg",1,41,18,1,"The pose of the subject draws your eyes to the picture The colors on her headband are nice to look at",116.66
"125",125,"c2yi6",19,1035158,2,1,37,3,62,62,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",1,37,3,1,"I like the intensity the man is giving off It makes me pause and wonder what it is that he is thinking about",33.101
"126",126,"c2yi6",2,443442,1,-1,16,14,65,66,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,14,16,1,"It seems the subject of the photo wears his soul outwardly Looking at the picture it makes you feel like you know him It connects with you on an intimate level",85.022
"127",127,"c2yi6",20,1071084,2,1,33,1,62,60,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",0,1,33,1,"The subject has a unique beauty that makes me think of long ago royality ",41.701
"128",128,"c2yi6",21,1115508,2,-1,45,38,73,64,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",1,45,38,1,"The colors in the photo are really nice and the pose of the subject goes well with the background",41.166
"129",129,"c2yi6",23,1164339,2,-1,0,12,73,62,"abstral-official-cyOKLSgkgCE-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",1,0,12,1,"It seems like the subject has a story to tell and it is engaging to imagine what he may have to say ",46.243
"130",130,"c2yi6",4,539865,1,1,6,34,62,63,"ben-o-bro-C5XyLljkMrY-unsplash.jpg","oliver-johnson-1TUIcKob7Zs-unsplash.jpg",0,34,6,1,"The subject has a mysterious air about them Its almost as if shes thinking about something very deep and troubling and that stirred my imagination ",53.553
"131",131,"c2yi6",5,597110,1,1,30,40,61,69,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",0,40,30,1,"The subject seems warm and inviting I like the idea of capturing a photographer holding his camera it just seems so natural",47.088
"132",132,"c2yi6",6,648325,1,-1,13,42,72,74,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",0,42,13,1,"The filter on the photo makes it appear vintage which makes me nastaligic The colors in the photo are easy on the eyes but enough to draw your attention to them I like the expression on the subjects face ",100.553
